SITE,Date,Hour,OZONE,TEMP_F,StateCode,CountyCode,SiteNum,Latitude,Longitude,Time,Parameter,YEAR,Month,Day
27-137-7001,2016-09-12,0,6,48.800000000000004,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,9,12
27-137-7001,2016-09-13,5,12,53.6,27,137,7001,47.523355,-92.536305,1899-12-31T05:00:00Z,88101,2016,9,13
27-137-7001,2016-09-14,7,9,54.8,27,137,7001,47.523355,-92.536305,1899-12-31T07:00:00Z,88101,2016,9,14
27-137-7001,2016-09-15,1,6,57.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,9,15
27-137-7001,2016-09-16,1,10,66.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,9,16
27-137-7001,2016-09-17,1,10,58.4,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,9,17
27-137-7001,2016-09-18,2,5,48.2,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,9,18
27-137-7001,2016-09-19,0,15,62.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,9,19
27-137-7001,2016-09-20,7,15,67.4,27,137,7001,47.523355,-92.536305,1899-12-31T07:00:00Z,88101,2016,9,20
27-137-7001,2016-09-21,0,11,62.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,9,21
27-137-7001,2016-09-22,0,10,70.39999999999999,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,9,22
27-137-7001,2016-09-23,4,9,71.6,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,9,23
27-137-7001,2016-09-24,0,7,65.60000000000001,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,9,24
27-137-7001,2016-09-25,0,11,65.60000000000001,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,9,25
27-137-7001,2016-09-26,1,20,75.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,9,26
27-137-7001,2016-09-27,3,17,78.8,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,9,27
27-137-7001,2016-09-28,3,22,79.39999999999999,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,9,28
27-137-7001,2016-09-29,1,6,51.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,9,29
27-137-7001,2016-09-30,9,3,48.800000000000004,27,137,7001,47.523355,-92.536305,1899-12-31T09:00:00Z,88101,2016,9,30
27-137-7001,2016-10-01,8,7,50,27,137,7001,47.523355,-92.536305,1899-12-31T08:00:00Z,88101,2016,10,01
27-137-7001,2016-10-02,0,6,53.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,10,02
27-137-7001,2016-10-03,3,11,46.4,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,10,03
27-137-7001,2016-10-04,0,4,44.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,10,04
27-137-7001,2016-10-05,3,6,47,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,10,05
27-137-7001,2016-10-06,6,8,53,27,137,7001,47.523355,-92.536305,1899-12-31T06:00:00Z,88101,2016,10,06
